城市,日期,最高气温,最低气温,当日天气,风向,,  
澳门,2022-01-01 星期六 ,11,-3,晴,东南风 1级,,
澳门,2022-01-02 星期日 ,20,14,晴,东南风 3级,,
澳门,2022-01-03 星期一 ,22,15,晴,东北风 2级,,
澳门,2022-01-04 星期二 ,22,16,阴,北风 3级,,
澳门,2022-01-05 星期三 ,25,13,晴,东北风 2级,,
澳门,2022-01-06 星期四 ,24,15,多云,东南风 3级,,
澳门,2022-01-07 星期五 ,22,15,多云,东风 3级,,
澳门,2022-01-08 星期六 ,22,15,多云,东南风 3级,,
澳门,2022-01-09 星期日 ,21,16,多云,东南风 1级,,
澳门,2022-01-10 星期一 ,20,14,阴到小雨,西南风 2级,,
澳门,2022-01-11 星期二 ,18,11,晴,东北风 2级,,
澳门,2022-01-12 星期三 ,21,12,阴,东风 3级,,
澳门,2022-01-13 星期四 ,18,14,多云,东风 2级,,
澳门,2022-01-14 星期五 ,18,16,多云,西风 3级,,
澳门,2022-01-15 星期六 ,20,16,多云,东风 2级,,
澳门,2022-01-16 星期日 ,24,15,多云,东风 3级,,
澳门,2022-01-17 星期一 ,19,16,多云,西南风 2级,,
澳门,2022-01-18 星期二 ,18,15,多云,东风 2级,,
澳门,2022-01-19 星期三 ,19,12,晴,北风 2级,,
澳门,2022-01-20 星期四 ,21,11,晴,东南风 3级,,
澳门,2022-01-21 星期五 ,22,15,多云,东北风 2级,,
澳门,2022-01-22 星期六 ,22,18,阴,东风 3级,,
澳门,2022-01-23 星期日 ,21,18,小雨,东风 2级,,
澳门,2022-01-24 星期一 ,21,17,阴,东南风 2级,,
澳门,2022-01-25 星期二 ,21,15,多云,东南风 1级,,
澳门,2022-01-26 星期三 ,21,17,阴,东风 5级,,
澳门,2022-01-27 星期四 ,22,17,晴,东南风 1级,,
澳门,2022-01-28 星期五 ,20,17,阴,东风 3级,,
澳门,2022-01-29 星期六 ,15,11,多云,北风 3级,,
澳门,2022-01-30 星期日 ,16,10,多云,北风 3级,,
澳门,2022-01-31 星期一 ,15,11,阴,东北风 2级,,
澳门,2022-02-01 星期二 ,13,10,阴,北风 2级,,
澳门,2022-02-02 星期三 ,14,10,阴,北风 2级,,
澳门,2022-02-03 星期四 ,12,10,阴,北风 4级,,
澳门,2022-02-04 星期五 ,17,10,多云,北风 3级,,
澳门,2022-02-05 星期六 ,15,12,多云,东南风 2级,,
澳门,2022-02-06 星期日 ,16,15,多云,东风 1级,,
澳门,2022-02-07 星期一 ,17,11,阴,东风 2级,,
澳门,2022-02-08 星期二 ,17,14,多云,东北风 2级,,
澳门,2022-02-09 星期三 ,16,14,阴,东北风 1级,,
澳门,2022-02-10 星期四 ,18,15,雾,东风 2级,,
澳门,2022-02-11 星期五 ,18,15,阴,东风 2级,,
澳门,2022-02-12 星期六 ,21,18,多云,东风 1级,,
澳门,2022-02-13 星期日 ,17,13,阴,北风 2级,,
澳门,2022-02-14 星期一 ,18,15,晴,东风 1级,,
澳门,2022-02-15 星期二 ,21,15,多云,东风 2级,,
